input,cores,chunk_size,run1s1,run1s2,run1e1,run1e2,run2s1,run2s2,run2e1,run2e2,run3s1,run3s2,run3e1,run3e2,run4s1,run4s2,run4e1,run4e2,run5s1,run5s2,run5e1,run5e2
15000,24,512,0.539665,0.544142,5.130304,5.134808,0.616353,0.562721,5.130039,5.128817,0.559417,0.532835,5.130198,5.133379,0.571244,0.530615,5.129894,5.129248,0.572049,0.518822,5.129452,5.129302
15000,24,1024,0.891916,0.900340,5.128680,5.129767,0.868744,0.901654,5.134161,5.130062,0.868049,0.833787,5.129092,5.131806,0.822593,0.846379,5.134625,5.129454,0.852412,0.886584,5.129188,5.129374
15000,24,2048,1.640403,1.558319,5.128442,5.130003,1.585638,1.670387,5.128250,5.129957,1.591908,1.633279,5.129284,5.130448,1.659268,1.621692,5.128699,5.131046,1.656929,1.616080,5.128703,5.131785
15000,24,4096,2.369630,2.377148,5.128736,5.145072,2.402970,2.361930,5.128676,5.130738,2.405276,2.431295,5.130516,5.130129,2.349747,2.366850,5.129024,5.131731,2.377528,2.477401,5.128704,5.132270
15000,28,1,0.272409,0.352636,5.128392,5.130968,0.310131,0.347866,5.128447,5.129926,0.275810,0.353233,5.128435,5.129717,0.281617,0.283987,5.131151,5.136725,0.266806,0.289743,5.131055,5.131764
15000,28,10,0.384014,0.271494,5.127946,5.131796,0.266298,0.288294,5.130186,5.128745,0.322797,0.269804,5.130110,5.128527,0.373755,0.280260,5.134193,5.128210,0.318424,0.274330,5.131326,5.129353
15000,28,16,0.353217,0.270789,5.131448,5.128216,0.371717,0.280404,5.131285,5.138781,0.299402,0.273719,5.133443,5.132379,0.281119,0.281261,5.131343,5.127971,0.343517,0.281326,5.130674,5.129785
15000,28,32,0.375520,0.280958,5.131263,5.128621,0.342281,0.286873,5.131594,5.130077,0.298891,0.278381,5.131218,5.129289,0.324915,0.276790,5.131558,5.128631,0.354976,0.290423,5.132306,5.128983
15000,28,64,0.352159,0.301546,5.141693,5.128768,0.363690,0.296489,5.131378,5.128766,0.325915,0.308222,5.131003,5.128958,0.311650,0.302642,5.127833,5.129274,0.432233,0.302003,5.127871,5.128928
15000,28,128,0.413482,0.331683,5.127636,5.129388,0.424374,0.331994,5.129378,5.129010,0.421246,0.336090,5.129312,5.128014,0.396258,0.344635,5.128883,5.129228,0.389029,0.357538,5.128981,5.130174
15000,28,256,0.474386,0.376466,5.129075,5.129446,0.469269,0.369739,5.129323,5.129820,0.460276,0.387289,5.129139,5.129339,0.469829,0.372356,5.129851,5.129220,0.492796,0.370994,5.128913,5.129078
15000,28,512,0.583329,0.468498,5.129100,5.128974,0.604289,0.475368,5.129247,5.129310,0.531789,0.498628,5.143892,5.128653,0.549899,0.476467,5.136198,5.128750,0.526451,0.471447,5.128859,5.128809
