input,cores,chunk_size,run1s1,run1s2,run2s1,run2s2,run3s1,run3s2,run4s1,run4s2,run5s1,run5s2
100000,28,64,12.928885,13.148505,12.922464,13.023694,13.010218,13.015703,12.921374,13.059522,12.929687,12.935339
100000,28,128,13.414670,13.184320,13.428886,13.299217,13.525949,13.163984,13.391831,13.223832,13.311353,13.255943
100000,28,256,13.679831,13.604994,13.793512,13.568530,13.671774,13.624307,13.616328,13.545814,13.652642,13.587943
100000,28,512,13.971474,14.765183,13.975182,14.390290,14.097876,14.522740,13.929226,14.442707,14.098147,14.780582
100000,28,1024,16.208759,16.043561,15.938371,15.946343,15.892723,16.230327,15.817515,16.018880,16.202614,16.296335
100000,28,2048,20.130481,19.372528,19.966186,20.189959,20.170487,19.816652,20.137643,19.489506,20.306274,19.417802
100000,28,4096,27.726100,26.796508,27.193283,27.329597,26.912435,27.273788,26.901142,27.335011,27.640669,27.443989
100000,32,1,11.257099,11.214671,11.177959,11.141799,11.293024,11.178646,11.205757,11.226824,11.261992,11.191151
100000,32,10,11.339252,11.154484,11.362639,11.205571,11.267671,11.206972,11.288674,11.227148,11.394219,11.307759
100000,32,16,11.251349,11.252461,11.200295,11.262414,11.350468,11.295466,11.216262,11.219353,11.319327,11.171668
100000,32,32,11.307448,11.328632,11.358071,11.310851,11.336698,11.238409,11.444263,11.294545,11.270598,11.388790
100000,32,64,11.356503,11.394651,11.314711,11.390879,11.465205,11.460397,11.367100,11.334533,11.404716,11.454752
100000,32,128,11.549181,11.641365,11.554505,11.562619,11.550897,11.626708,11.394347,11.587197,11.543551,11.807333
100000,32,256,12.075103,11.955133,12.178888,11.965414,12.249115,12.093639,12.056979,11.923364,12.284670,12.018487
100000,32,512,12.624663,12.739848,12.681596,12.693928,12.555115,12.751385,12.678934,13.020126,12.587754,13.144086
100000,32,1024,13.569039,14.596341,13.515960,14.166921,13.515881,14.450266,13.776806,14.578805,14.040761,14.300855
100000,32,2048,19.042667,18.079113,18.556872,18.195001,18.695795,17.940799,18.873975,18.436449,18.605795,18.104456
100000,32,4096,26.920981,26.863125,27.342890,26.795061,26.761443,26.737001,26.758448,26.786769,26.748532,26.987452
100000,36,1,11.122071,11.257291,11.226666,11.131718,11.157550,11.173109,11.169882,11.130376,11.242291,11.262710
100000,36,10,11.211364,11.137859,11.319675,11.364880,11.265120,11.178036,11.341867,11.324977,11.255963,11.197708
100000,36,16,11.227038,11.170396,11.245993,11.195919,11.201929,11.266453,11.491428,11.248805,11.336945,11.187321
100000,36,32,11.431695,11.410795,11.428458,11.311795,11.306296,11.235278,11.309277,11.417384,11.309909,11.245182
100000,36,64,11.390573,11.386003,11.519986,11.408440,11.446826,11.325296,11.503383,11.377776,11.467892,11.453749
100000,36,128,11.570816,11.665261,11.710989,11.655174,11.383726,11.695237,11.613422,11.718045,11.463339,11.648770
100000,36,256,12.369546,12.145998,12.373426,11.997480,12.436973,11.987815,12.467631,12.133245,12.281688,12.048008
100000,36,512,13.178450,12.850292,13.260723,13.076393,13.167776,12.983416,13.248382,12.731806,13.166853,12.998382
100000,36,1024,13.899120,14.969651,13.870089,14.840025,13.697688,14.888150,13.736632,14.657533,13.820235,15.207700
100000,36,2048,19.042680,18.615167,18.824823,18.435850,19.144830,19.366546,18.843827,19.239343,19.233179,18.388177
100000,36,4096,29.418246,28.573377,28.350105,29.702769,28.690605,29.260090,30.095641,30.819377,29.022192,29.116529
100000,40,1,10.171614,10.154880,10.351890,10.279681,10.200208,10.318063,10.171666,10.150298,10.138309,10.130656
100000,40,10,10.206139,10.165281,10.175772,10.241366,10.371165,10.205103,10.309511,10.184470,10.169048,10.173418
100000,40,16,10.209319,10.186756,10.400748,10.209779,10.186291,10.367252,10.232669,10.260522,10.206707,10.204640
100000,40,32,10.271412,10.309491,10.457951,10.442775,10.439276,10.302054,10.239493,10.263360,10.478033,10.272545
