input,cores,chunk_size,run1s,run1e,run2s,run2e,run3s,run3e,run4s,run4e,run5s,run5e
30000,24,256,1.29,47.03,1.26,46.87,1.27,47.30,10.28,46.97,1.28,47.61
30000,24,512,1.37,47.77,21.06,47.74,21.87,47.38,1.28,47.24,4.85,47.73
30000,24,1024,21.14,47.94,1.30,47.60,21.06,47.56,1.27,47.51,1.27,47.19
30000,24,2048,1.27,45.66,15.77,46.96,19.14,46.29,1.35,46.04,1.29,46.92
30000,24,4096,1.26,47.08,1.30,46.56,13.74,47.90,1.26,48.52,1.27,47.88
30000,28,1,21.82,533.61,20.54,476.05,20.53,483.04,19.20,458.99,23.59,517.55
30000,28,10,20.43,86.00,19.93,85.48,1.08,84.05,1.09,83.37,1.10,84.13
30000,28,16,1.07,66.45,1.11,66.02,22.67,66.43,1.12,65.21,1.09,66.23
30000,28,32,18.06,54.79,1.09,54.84,1.09,54.89,1.11,55.03,1.10,54.42
30000,28,64,20.72,52.36,1.10,51.84,1.07,52.54,15.36,52.85,21.39,51.23
30000,28,128,1.07,51.15,1.07,51.20,21.74,51.99,21.80,50.91,1.07,51.26
30000,28,256,20.11,51.33,21.84,50.63,1.07,50.52,1.08,49.86,21.84,50.86
30000,28,512,1.12,51.49,21.14,51.15,20.17,51.68,1.09,50.32,21.30,50.60
30000,28,1024,21.10,50.07,20.43,50.64,1.09,51.21,21.59,50.33,1.10,50.10
30000,28,2048,1.09,49.93,1.08,49.92,1.11,48.79,19.13,49.82,1.07,48.29
30000,28,4096,1.07,48.09,1.07,50.26,1.07,49.13,1.06,49.74,1.08,50.31
30000,32,1,19.35,351.45,19.66,348.11,19.21,469.74,21.13,363.03,20.30,490.95
30000,32,10,3.33,88.00,0.97,90.51,0.96,88.32,20.55,93.95,0.94,88.56
30000,32,16,0.96,74.73,0.96,75.50,20.87,72.95,7.37,73.59,0.95,74.01
30000,32,32,23.56,63.68,0.97,64.09,0.96,63.38,11.15,63.24,0.95,63.46
30000,32,64,21.08,60.90,20.32,59.64,0.94,60.31,20.80,60.71,21.36,61.57
30000,32,128,19.44,61.14,21.69,59.38,21.60,57.69,19.52,59.87,21.05,60.82
30000,32,256,21.83,56.28,16.68,57.84,18.89,57.89,18.15,58.24,0.95,58.47
